query_id,logical_query_id,mode,attempt_index,initiator_worker,source_worker,topic,finalized,latency_seconds,nodes_contacted,max_hop,source_reached,pageindex_calls,pageindex_latency_seconds_total,pageindex_latency_seconds_max,pageindex_latency_seconds_avg,pageindex_latency_count,evidence_count,retrieval_success,not_found,final_failed
npygpdnh-q1::chain_hop::node7::attempt1,npygpdnh-q1::chain_hop::node7,chain_hop,1,node7,node1,Local Arts and Culture,True,71.07320887499372,2,1,False,2,28.136010707967216,19.949186595971696,14.068005353983608,2,1,True,False,False
npygpdnh-q1::chain_hop::node7::attempt2,npygpdnh-q1::chain_hop::node7,chain_hop,2,node7,node1,Local Arts and Culture,True,65.65304730201024,2,1,False,2,23.374092014011694,15.211449091002578,11.687046007005847,2,1,True,False,False
npygpdnh-q2::chain_hop::node29::attempt1,npygpdnh-q2::chain_hop::node29,chain_hop,1,node29,node1,Local Arts and Culture,True,69.2531073349819,3,2,True,3,15.114569930010475,8.177346563985338,5.038189976670158,3,2,True,False,False
npygpdnh-q2::chain_hop::node29::attempt2,npygpdnh-q2::chain_hop::node29,chain_hop,2,node29,node1,Local Arts and Culture,True,73.54381764100981,3,2,True,3,17.400647294038208,10.500341636012308,5.800215764679403,3,2,True,False,False
npygpdnh-q3::chain_hop::node7::attempt1,npygpdnh-q3::chain_hop::node7,chain_hop,1,node7,node1,Local Arts and Culture,True,60.06440507498337,4,3,True,4,13.833567612979095,3.4676804009941407,3.458391903244774,4,0,False,True,False
npygpdnh-q3::chain_hop::node7::attempt2,npygpdnh-q3::chain_hop::node7,chain_hop,2,node7,node1,Local Arts and Culture,True,60.06467567200889,4,3,True,4,13.812709658028325,3.4572666349995416,3.4531774145070813,4,0,False,True,False
sokjefpf-q1::chain_hop::node30::attempt1,sokjefpf-q1::chain_hop::node30,chain_hop,1,node30,node2,Local Arts and Culture,True,60.11771704800776,4,3,True,4,28.00565835798625,8.209969997988082,7.001414589496562,4,0,False,True,False
sokjefpf-q1::chain_hop::node30::attempt2,sokjefpf-q1::chain_hop::node30,chain_hop,2,node30,node2,Local Arts and Culture,True,60.06403396697715,4,3,True,4,27.9234908639919,8.16624675699859,6.980872715997975,4,0,False,True,False
sokjefpf-q2::chain_hop::node24::attempt1,sokjefpf-q2::chain_hop::node24,chain_hop,1,node24,node2,Local Arts and Culture,True,60.0739708210167,4,3,True,4,25.591009163006674,10.52102706299047,6.397752290751669,4,0,False,True,False
sokjefpf-q2::chain_hop::node24::attempt2,sokjefpf-q2::chain_hop::node24,chain_hop,2,node24,node2,Local Arts and Culture,True,60.0648148060136,4,3,True,4,27.98521972101298,12.852862730011111,6.996304930253245,4,0,False,True,False
sokjefpf-q3::chain_hop::node24::attempt1,sokjefpf-q3::chain_hop::node24,chain_hop,1,node24,node2,Local Arts and Culture,True,68.0460620399972,4,3,False,4,30.31169776900788,12.888124863995472,7.57792444225197,4,4,True,False,False
sokjefpf-q3::chain_hop::node24::attempt2,sokjefpf-q3::chain_hop::node24,chain_hop,2,node24,node2,Local Arts and Culture,True,60.04556356600369,4,3,False,4,13.852520812972216,3.4864221019961406,3.463130203243054,4,0,False,True,False
qsuyamen-q1::chain_hop::node21::attempt1,qsuyamen-q1::chain_hop::node21,chain_hop,1,node21,node2,Local Arts and Culture,True,60.16976742900442,4,3,False,4,13.79337237495929,3.4592338029760867,3.4483430937398225,4,0,False,True,False
qsuyamen-q1::chain_hop::node21::attempt2,qsuyamen-q1::chain_hop::node21,chain_hop,2,node21,node2,Local Arts and Culture,True,60.07101189199602,4,3,False,4,16.15168679994531,5.803088083979674,4.037921699986327,4,0,False,True,False
qsuyamen-q2::chain_hop::node1::attempt1,qsuyamen-q2::chain_hop::node1,chain_hop,1,node1,node2,Local Arts and Culture,True,64.17857799801277,2,1,True,2,11.621071895991918,8.16579758899752,5.810535947995959,2,1,True,False,False
qsuyamen-q2::chain_hop::node1::attempt2,qsuyamen-q2::chain_hop::node1,chain_hop,2,node1,node2,Local Arts and Culture,True,64.99359639099566,2,1,True,2,11.611891819979064,8.159659445984289,5.805945909989532,2,1,True,False,False
qsuyamen-q3::chain_hop::node22::attempt1,qsuyamen-q3::chain_hop::node22,chain_hop,1,node22,node2,Local Arts and Culture,True,74.45822996800416,2,1,False,2,11.627460082963808,8.158342427981552,5.813730041481904,2,1,True,False,False
qsuyamen-q3::chain_hop::node22::attempt2,qsuyamen-q3::chain_hop::node22,chain_hop,2,node22,node2,Local Arts and Culture,True,71.57477313000709,2,1,False,2,11.607667650998337,8.14951233199099,5.803833825499169,2,1,True,False,False
mlqtjntb-q1::chain_hop::node30::attempt1,mlqtjntb-q1::chain_hop::node30,chain_hop,1,node30,node1,Local Arts and Culture,True,64.84833744599018,2,1,True,2,11.617254715005402,8.161955210001906,5.808627357502701,2,4,True,False,False
mlqtjntb-q1::chain_hop::node30::attempt2,mlqtjntb-q1::chain_hop::node30,chain_hop,2,node30,node1,Local Arts and Culture,True,70.84382722401642,2,1,True,2,14.012070088996552,10.567478251003195,7.006035044498276,2,3,True,False,False
mlqtjntb-q2::chain_hop::node24::attempt1,mlqtjntb-q2::chain_hop::node24,chain_hop,1,node24,node1,Local Arts and Culture,True,68.6920826540154,2,1,True,2,11.631674686970655,8.177258708979934,5.815837343485327,2,1,True,False,False
mlqtjntb-q2::chain_hop::node24::attempt2,mlqtjntb-q2::chain_hop::node24,chain_hop,2,node24,node1,Local Arts and Culture,True,65.15969907201361,2,1,True,2,16.330120744969463,12.878186122979969,8.165060372484731,2,2,True,False,False
mlqtjntb-q3::chain_hop::node10::attempt1,mlqtjntb-q3::chain_hop::node10,chain_hop,1,node10,node1,Local Arts and Culture,True,60.14394689301844,1,0,False,1,3.4509621399920434,3.4509621399920434,3.4509621399920434,1,0,False,True,False
mlqtjntb-q3::chain_hop::node10::attempt2,mlqtjntb-q3::chain_hop::node10,chain_hop,2,node10,node1,Local Arts and Culture,True,60.07052047000616,1,0,False,1,3.4457020279951394,3.4457020279951394,3.4457020279951394,1,0,False,True,False
